# sigma        epsilon        charge       dG        uncertainty
4.704999999999999738e-01     5.850900000000000212e+00     1.000000000000000000e+00     -1.149405632282263383e+02     6.827675285374150416e-02
4.522999999999999798e-01     3.923999999999999932e+00     1.000000000000000000e+00     -1.026585072209159364e+02     5.775750215849516367e-02
4.390999999999999903e-01     5.649300000000000210e+00     1.000000000000000000e+00     -1.231191567810193277e+02     5.941371677185664640e-02
3.417000000000000037e-01     4.415999999999999925e-01     1.000000000000000000e+00     -2.146808125571961625e+02     5.425676098719432044e-02
3.099000000000000088e-01     4.500300000000000189e+00     1.000000000000000000e+00     -2.152911456997392747e+02     5.459986048209002074e-02
4.873000000000000109e-01     5.948199999999999932e+00     1.000000000000000000e+00     -1.111979034234196035e+02     7.567184833378239051e-02
2.756000000000000116e-01     5.241600000000000037e+00     1.000000000000000000e+00     -2.642798649177566404e+02     5.701027247567164863e-02
4.033999999999999808e-01     4.978500000000000369e+00     1.000000000000000000e+00     -1.334505432569590369e+02     5.426977018909209804e-02
3.673000000000000154e-01     2.615000000000000102e-01     1.000000000000000000e+00     -1.970521490995545832e+02     5.139125058574469523e-02
4.583999999999999742e-01     1.559900000000000064e+00     1.000000000000000000e+00     -8.479993015967664860e+01     5.259794809411377781e-02
3.284000000000000252e-01     3.378400000000000070e+00     1.000000000000000000e+00     -1.907231144496317654e+02     5.302332603422982293e-02
2.960999999999999743e-01     2.036999999999999922e+00     1.000000000000000000e+00     -2.426648969794333084e+02     5.531148850624814650e-02
4.056000000000000161e-01     4.752200000000000202e+00     1.000000000000000000e+00     -1.307906673279889560e+02     5.408263367757563250e-02
3.639999999999999902e-01     5.461800000000000210e+00     1.000000000000000000e+00     -1.604607098338112223e+02     5.211911845159035439e-02
4.418000000000000260e-01     6.064000000000000501e-01     1.000000000000000000e+00     -1.016008876848608935e+02     4.956032408685269453e-02
4.116000000000000214e-01     7.006000000000000005e-01     1.000000000000000000e+00     -1.228380384899762561e+02     4.906496264041008970e-02
3.956000000000000072e-01     4.352599999999999802e+00     1.000000000000000000e+00     -1.338546923305498524e+02     5.281327350616368821e-02
4.894999999999999907e-01     1.983100000000000085e+00     1.000000000000000000e+00     -7.065083515638893630e+01     6.444126785910954391e-02
3.935000000000000164e-01     5.694499999999999673e+00     -1.000000000000000000e+00     -1.433320808023696600e+02     5.450001051307550720e-02
2.988999999999999990e-01     2.107699999999999907e+00     -1.000000000000000000e+00     -2.374524301265672932e+02     5.505576495994008585e-02
3.562000000000000166e-01     2.446600000000000108e+00     -1.000000000000000000e+00     -1.598353294238293643e+02     4.996602810856148880e-02
4.314999999999999947e-01     5.397000000000000242e+00     -1.000000000000000000e+00     -1.237942276100467751e+02     5.790707917057044685e-02
3.131999999999999784e-01     1.984099999999999975e+00     -1.000000000000000000e+00     -2.172410467917482606e+02     5.365600667002075330e-02
4.350999999999999868e-01     2.568299999999999805e+00     -1.000000000000000000e+00     -1.015739415458700563e+02     5.290142938827563368e-02
4.127000000000000113e-01     5.500000000000000028e-02     -1.000000000000000000e+00     -1.964530196941751683e+02     5.355007651861289075e-02
3.474999999999999756e-01     2.312300000000000022e+00     -1.000000000000000000e+00     -1.697572497431633849e+02     5.050314802200906589e-02
3.904000000000000248e-01     5.476399999999999935e+00     -1.000000000000000000e+00     -1.435641032604085012e+02     5.400448834314276747e-02
