# epsilon      dG      uncertainty)
1.741999999999999993e+00     2.730507974440107954e+00     2.904521265245633629e-02
5.349400000000000155e+00     -2.248847834557143699e+01     3.904459422490563769e-02
1.944800000000000084e+00     1.573485436576364860e+00     3.030501894012404412e-02
1.927000000000000046e+00     1.658794159165416726e+00     3.019152115943669196e-02
1.614000000000000101e+00     3.512163366510279161e+00     2.900214034129834639e-02
5.367700000000000138e+00     -2.269841037714839871e+01     3.900348477765096938e-02
1.640099999999999891e+00     3.391672568110307484e+00     2.913186737379587846e-02
9.789999999999999813e-01     6.895569798288910590e+00     2.607255581336824848e-02
5.938799999999999635e+00     -2.690246178609285366e+01     4.034411755120904941e-02
3.428599999999999870e+00     -8.385554525812146665e+00     3.463775356684587609e-02
4.817800000000000082e+00     -1.844226200204128929e+01     3.797900686067796905e-02
3.456599999999999895e+00     -8.583540463007501842e+00     3.470581481329023527e-02
4.416400000000000325e+00     -1.551135195752767792e+01     3.703418949304506519e-02
5.721000000000000529e-01     8.387095743740918152e+00     2.331147252820716179e-02
5.204100000000000392e+00     -2.133622108855197652e+01     3.883810584733532467e-02
1.782100000000000017e+00     2.511632704525354587e+00     2.963511813741572659e-02
3.759700000000000042e+00     -1.076539146886331011e+01     3.541982004161248893e-02
1.120000000000000107e+00     6.164868324123486509e+00     2.676133453551004029e-02
5.631099999999999994e+00     -2.454298401107013561e+01     3.979362431821497487e-02
5.520299999999999763e+00     -2.376456640904154582e+01     3.945946273562129375e-02
4.811600000000000321e+00     -1.840802571165728807e+01     3.800845811088256893e-02
1.164199999999999902e+00     5.988586590780396790e+00     2.702422210891700094e-02
3.558600000000000207e+00     -9.335364239577600642e+00     3.496743835946149181e-02
5.327399999999999913e+00     -2.224322743607348229e+01     3.910845955148493230e-02
3.806299999999999795e+00     -1.110097467489734768e+01     3.556275616202081435e-02
5.959900000000000198e+00     -2.710702184296083317e+01     4.036801898077197609e-02
4.858900000000000219e+00     -1.883383743806409782e+01     3.798762665261821297e-02
4.318599999999999994e+00     -1.481841751086625614e+01     3.679835126862141675e-02
4.454299999999999926e+00     -1.567691742407724753e+01     3.723936738562778903e-02
1.007500000000000062e+00     6.757294774171360707e+00     2.600909369030105986e-02
1.409499999999999975e+00     4.677323115439896206e+00     2.816390854664376289e-02
5.424000000000000377e+00     -2.304332357927190245e+01     3.926388181914237246e-02
2.314999999999999947e+00     -8.048435883019952053e-01     3.151244298025881324e-02
2.679399999999999782e+00     -3.222927416065791029e+00     3.264116231470401419e-02
1.546799999999999953e+00     3.891641976016487092e+00     2.873268007522164838e-02
3.915299999999999780e+00     -1.185821364127380839e+01     3.586193015690857661e-02
3.350699999999999790e+00     -7.888031695910524554e+00     3.440558509680581578e-02
3.742900000000000116e+00     -1.059647030617627017e+01     3.543013047037144730e-02
3.550199999999999800e+00     -9.217533330925109070e+00     3.498689966512009281e-02
3.243900000000000006e+00     -7.122478319950498182e+00     3.413006850047470286e-02
2.265200000000000102e+00     -5.437325521851245069e-01     3.126133772860462817e-02
2.217200000000000060e+00     -1.922124515079733920e-01     3.114912106889935681e-02
3.646799999999999820e+00     -9.942884421555543639e+00     3.517273745535123841e-02
3.195699999999999985e+00     -6.756736349977493283e+00     3.401751656036068605e-02
1.818699999999999983e+00     2.268252682215937011e+00     2.977977971070857807e-02
5.661699999999999733e+00     -2.489523567922853076e+01     3.969383717845304665e-02
4.247399999999999842e+00     -1.426747092898822444e+01     3.664620016405242819e-02
8.539999999999999813e-01     7.461858414654475524e+00     2.540556771391477148e-02
2.428900000000000059e+00     -1.560643863111078389e+00     3.182245950246170157e-02
2.622700000000000031e+00     -2.822085434358769351e+00     3.246648246945027516e-02
5.757900000000000240e+00     -2.551599674998664824e+01     4.003451768142849559e-02
3.868300000000000072e+00     -1.157141652888035743e+01     3.571165191983415033e-02
1.134500000000000064e+00     6.126197611353684458e+00     2.686013881642706005e-02
5.251800000000000246e+00     -2.170202477972580368e+01     3.892371716185154956e-02
