# epsilon      dG      uncertainty)
5.250300000000000189e+00     -2.319153232947738275e+01     4.766633557302898255e-02
1.863899999999999890e+00     6.096592755899617799e+00     3.782161960588300426e-02
2.775900000000000034e+00     -1.222062817396697199e+00     4.092799049261183070e-02
5.325899999999999856e+00     -2.374681491902998687e+01     4.800745940918129534e-02
1.276299999999999990e+00     1.022462812421814249e+01     3.526556523051367631e-02
2.165900000000000158e+00     3.804552328377181158e+00     3.892893756257512911e-02
3.243799999999999795e+00     -4.937055886379386749e+00     4.258253518490734413e-02
1.268899999999999917e+00     1.020782407896599153e+01     3.519630154215729750e-02
4.656600000000000072e+00     -1.776965096049108439e+01     4.599675480194727328e-02
1.377000000000000002e+00     9.611209600196600533e+00     3.580104691495668290e-02
3.212200000000000166e+00     -4.889659558517457150e+00     4.227984570810742332e-02
2.730799999999999894e+00     -8.119811540016196316e-01     4.085976143165083452e-02
5.787700000000000067e+00     -2.827885691274854807e+01     4.910238055851375710e-02
4.469800000000000217e+00     -1.604184060737679118e+01     4.553980101051428864e-02
1.371699999999999919e+00     9.547346960242556690e+00     3.567538264470376114e-02
1.902800000000000047e+00     5.802380378956729423e+00     3.792655353797584616e-02
3.416300000000000114e+00     -6.630123990497716946e+00     4.287501040820256015e-02
3.443900000000000183e+00     -6.872715090296368068e+00     4.298899343855145522e-02
2.634700000000000042e+00     7.430665596609895007e-02     4.060686939695701270e-02
1.451899999999999968e+00     9.017256138221400263e+00     3.607195658343224920e-02
5.680399999999999672e+00     -2.719174716523829005e+01     4.878155209020900579e-02
4.143900000000000361e+00     -1.308218607934975175e+01     4.469811211866214773e-02
3.333699999999999886e+00     -5.815208507117850090e+00     4.272287200840244742e-02
2.325000000000000178e+00     2.491914087276343004e+00     3.942776117557411641e-02
1.098500000000000032e+00     1.135451095102163421e+01     3.438364696585032715e-02
5.030899999999999928e+00     -2.111527572261689656e+01     4.712337185966582881e-02
4.862199999999999633e+00     -1.965534269401970136e+01     4.656111317507689862e-02
4.706900000000000084e+00     -1.810296087609561155e+01     4.624719035273158751e-02
3.255999999999999783e+00     -5.251388335337778379e+00     4.242060799504217272e-02
2.219399999999999817e+00     3.342354925644156705e+00     3.909055471430800816e-02
5.006300000000000416e+00     -2.097509216846143687e+01     4.692978999063397022e-02
1.842899999999999983e+00     6.243750267758557015e+00     3.768511509529284126e-02
2.973899999999999988e+00     -2.842578300163267624e+00     4.158802997064803969e-02
1.532100000000000017e+00     8.498434705805694378e+00     3.645621600399941847e-02
3.314799999999999969e+00     -5.764433108555285123e+00     4.256585634659140749e-02
4.821600000000000108e+00     -1.922213152817311865e+01     4.651387127863328141e-02
3.523899999999999810e+00     -7.612693555280793056e+00     4.309473378822978318e-02
2.019499999999999851e+00     4.898871377123176885e+00     3.838302886515142925e-02
4.844100000000000072e+00     -1.941866199543879645e+01     4.654422021973535217e-02
5.427500000000000213e+00     -2.473262386357694353e+01     4.814230065837984962e-02
2.233999999999999986e+00     3.268349810792448018e+00     3.914275717505034252e-02
1.596600000000000019e+00     8.023958958932722041e+00     3.675927568715463278e-02
3.528799999999999937e+00     -7.557447019551516654e+00     4.317843176002542083e-02
4.093899999999999650e+00     -1.259282486283871805e+01     4.461867990386958471e-02
3.882400000000000073e+00     -1.077594797489340550e+01     4.402820180999646171e-02
1.709500000000000020e+00     7.257351540444507698e+00     3.721013602623585159e-02
5.588700000000000223e+00     -2.637485406960210810e+01     4.858441649561118930e-02
1.808799999999999963e+00     6.570932467148244527e+00     3.761874367801143482e-02
5.383399999999999963e+00     -2.439216102260192898e+01     4.803560673713616613e-02
1.143399999999999972e+00     1.101754890694216549e+01     3.453368448438272342e-02
4.565100000000000158e+00     -1.683393655065829719e+01     4.581118207172333451e-02
5.303200000000000358e+00     -2.367568301877256687e+01     4.780275093760339572e-02
1.754099999999999993e+00     6.956300242510299547e+00     3.737854607453190703e-02
2.901800000000000157e+00     -2.233333941629360719e+00     4.138858644404616594e-02
1.041900000000000048e+00     1.163585820523728565e+01     3.404449594200350399e-02
5.076900000000000190e+00     -2.158171482843846789e+01     4.719171364373875993e-02
2.107299999999999951e+00     4.206847079967499958e+00     3.864504561757224621e-02
5.908500000000000085e+00     -2.940368997781521188e+01     4.937279956413833520e-02
3.861400000000000166e+00     -1.048722305399872035e+01     4.405179203478708921e-02
2.141799999999999926e+00     3.971753559833202996e+00     3.884230952573594631e-02
3.848700000000000010e+00     -1.048365804118497735e+01     4.393659505959356809e-02
3.352399999999999824e+00     -6.103852714838070348e+00     4.266725397060133068e-02
5.155000000000000249e+00     -2.226487112159817983e+01     4.746047695916093961e-02
4.239099999999999646e+00     -1.388391341716871885e+01     4.504350178739185279e-02
3.624200000000000088e+00     -8.449595696242512943e+00     4.341123940311943097e-02
2.340700000000000003e+00     2.308026646360197720e+00     3.946107934763527780e-02
2.877699999999999925e+00     -2.021614001807016781e+00     4.133393610100778715e-02
3.087600000000000122e+00     -3.810719061980983202e+00     4.194276727929866638e-02
5.653500000000000192e+00     -2.694229324647324120e+01     4.871931700192418807e-02
4.397499999999999964e+00     -1.532131597029605530e+01     4.538875622180068431e-02
3.006200000000000205e+00     -3.117855987678010088e+00     4.171700541364241344e-02
5.127100000000000435e+00     -2.201407104409489435e+01     4.730874908718703253e-02
1.337800000000000100e+00     9.819630247654400179e+00     3.556139643764212599e-02
4.626199999999999868e+00     -1.740671929422656916e+01     4.600729528761667020e-02
5.742799999999999905e+00     -2.778984921983976975e+01     4.897137183729543403e-02
5.762800000000000367e+00     -2.794666552906938151e+01     4.904915717305346340e-02
1.647999999999999909e+00     7.688087749232702883e+00     3.693394346822333890e-02
2.978099999999999969e+00     -2.887584009080693015e+00     4.163772197410265524e-02
1.796200000000000019e+00     6.586687686395237051e+00     3.752508846598489461e-02
5.069700000000000095e+00     -2.147210638509537972e+01     4.720313749514012946e-02
3.901299999999999990e+00     -1.086418601050331212e+01     4.414907552531408680e-02
4.150100000000000122e+00     -1.314755119816862639e+01     4.470742043739524968e-02
3.285200000000000120e+00     -5.474671876797346570e+00     4.254722746927099009e-02
5.978200000000000180e+00     -3.009228705571806373e+01     4.959658450980519023e-02
5.894899999999999807e+00     -2.920537098803713150e+01     4.939269782177607704e-02
3.046600000000000197e+00     -3.432364492645666232e+00     4.183590653856635033e-02
4.250499999999999723e+00     -1.402126211736911365e+01     4.498441303695017990e-02
2.660299999999999887e+00     -2.345855914940659925e-01     4.059698608734742253e-02
